HARGA,Luas Bangunan,Luas Tanah,Kamar Tidur,Kamar Mandi,Garasi
22000000000,300,520,5,4,3
2850000000,102,96,3,2,2
30000000000,900,672,5,6,4
25000000000,350,565,4,4,4
1250000000,120,136,5,2,0
4000000000,194,194,3,3,1
6000000000,250,141,4,4,3
2600000000,147,154,4,3,1
3500000000,126,135,4,3,0
3500000000,170,112,3,4,2
12500000000,600,208,4,5,3
3950000000,260,133,5,5,2
2300000000,100,140,3,2,1
4000000000,216,135,5,4,1
29000000000,900,672,5,6,4
37000000000,500,720,5,5,2
8000000000,382,404,6,3,1
5000000000,180,127,4,4,2
7200000000,200,256,5,3,2
17500000000,800,365,5,4,6
14800000000,500,310,4,4,4
3750000000,196,196,7,5,2
6200000000,390,130,7,6,3
4000000000,200,160,5,4,2
6200000000,251,140,5,4,5
8000000000,252,200,4,3,2
8800000000,400,230,5,5,3
3200000000,150,80,5,5,1
18500000000,300,520,4,3,3
18500000000,800,361,5,4,4
2250000000,135,135,4,4,0
16000000000,140,246,6,6,1
5999999999,240,240,4,4,3
8555555555,304,304,3,2,3
4600000000,215,135,9,8,2
4700000000,222,145,4,3,2
2500000000,165,135,4,3,1
8500000000,260,256,4,3,4
5100000000,200,305,5,2,3
8000000000,330,240,5,5,3
3975000000,325,226,6,5,1
5800000000,340,173,5,4,2
5500000000,420,210,6,5,2
4500000000,120,154,6,4,1
2700000000,94,78,3,2,1
4300000000,180,127,4,4,2
3700000000,150,90,4,4,3
3800000000,200,130,4,4,2
2600000000,200,135,10,3,2
4200000000,400,225,5,4,2
3600000000,200,186,3,2,0
2150000000,100,104,2,1,0
2600000000,120,90,3,2,1
22000000000,400,650,7,4,4
8300000000,260,306,4,3,1
2990000000,162,156,5,4,2
3200000000,160,90,3,3,2
2800000000,150,90,4,3,2
7500000000,350,250,5,4,1
6000000000,295,352,6,4,5
13500000000,400,430,9,4,4
5000000000,320,150,7,6,2
6800000000,500,428,6,4,5
4600000000,176,137,5,4,2
7000000000,300,182,4,3,2
3500000000,400,150,5,4,2
35000000000,1000,1400,10,7,7
5300000000,195,199,5,2,1
3500000000,190,135,4,3,2
2400000000,147,154,2,2,0
3375000000,192,120,5,4,2
15000000000,350,400,7,4,3
22000000000,300,405,4,4,0
14000000000,400,541,5,5,4
23000000000,750,610,6,4,4
7100000000,200,256,6,3,3
6000000000,325,222,6,4,1
3500000000,250,90,3,4,2
6500000000,219,338,5,3,1
7000000000,210,166,6,6,3
6100000000,375,130,6,5,3
8000000000,470,350,7,6,2
10000000000,674,775,4,3,0
3700000000,400,370,6,2,0
3000000000,192,120,4,3,2
8250000000,460,290,6,5,2
3300000000,160,179,4,2,2
11000000000,500,400,6,3,4
7000000000,220,166,4,4,2
2990000000,162,156,6,4,2
3600000000,125,135,5,3,2
2650000000,190,202,4,2,4
2650000000,180,202,4,2,4
2700000000,200,122,5,3,1
22000000000,500,520,5,4,4
2800000000,150,98,4,3,1
9200000000,450,700,8,5,2
6000000000,150,250,4,4,2
1000000000,140,128,5,3,1
14800000000,500,310,3,3,4
7500000000,200,280,5,5,2
20000000000,700,547,6,5,6
1999000000,125,133,4,2,1
1950000000,125,130,4,2,1
11500000000,600,208,4,5,4
3100000000,140,90,3,2,2
4600000000,250,184,4,3,2
3000000000,140,135,3,2,1
3200000000,120,86,5,4,2
15000000000,500,400,9,6,4
4500000000,140,140,3,2,1
6800000000,480,290,6,3,4
6500000000,219,338,5,3,3
3550000000,250,352,5,1,3
23000000000,1000,498,8,9,5
4200000000,220,115,4,3,0
9000000000,250,162,4,3,2
12000000000,385,404,4,3,0
12000000000,350,198,7,5,4
22000000000,600,852,5,5,4
3500000000,300,190,6,6,3
15000000000,200,385,5,5,0
3850000000,160,224,4,3,1
9800000000,759,319,4,4,4
8900000000,300,300,5,4,2
4700000000,280,102,4,3,3
3050000000,173,89,3,4,2
5750000000,250,121,4,4,2
4500000000,250,110,4,3,1
28000000000,750,498,5,5,3
6500000000,117,205,5,4,0
13000000000,500,400,6,3,2
25000000000,350,565,5,5,1
7300000000,500,325,5,5,1
2900000000,125,135,5,2,1
8000000000,278,278,7,3,2
6250000000,240,180,7,5,0
8750000000,300,322,4,4,2
5500000000,360,140,4,4,2
16500000000,700,550,6,6,1
1100000000,63,300,3,1,1
15000000000,700,700,5,3,4
6900000000,250,125,3,2,2
7500000000,500,280,5,4,1
5800000000,220,141,4,4,3
14500000000,400,307,3,3,4
4500000000,200,146,4,4,2
17000000000,600,550,5,6,6
2950000000,150,134,3,2,1
3000000000,150,150,3,2,1
2000000000,80,90,2,1,1
25000000000,350,565,5,5,4
8500000000,300,325,5,3,2
7000000000,280,220,4,3,4
9800000000,400,350,4,5,1
3000000000,150,90,3,2,1
5500000000,200,250,4,3,3
4850000000,300,265,4,3,0
3200000000,150,135,5,2,1
25000000000,1080,619,5,6,2
6700000000,390,130,7,6,3
17000000000,360,606,8,3,1
31000000000,1000,670,6,5,2
9200000000,650,695,6,8,1
6900000000,250,160,3,4,1
3800000000,250,145,8,8,0
3600000000,120,139,5,3,1
1700000000,80,90,2,2,1
2900000000,133,126,3,2,1
1900000000,120,90,3,2,1
17000000000,390,608,9,3,5
7000000000,500,428,6,6,4
3300000000,200,145,8,8,2
7150000000,250,162,4,3,2
8500000000,283,306,5,4,1
600000000,60,30,2,1,0
17000000000,450,310,4,4,4
2750000000,121,100,4,3,1
3000000000,224,124,3,3,1
6500000000,300,200,5,4,4
5900000000,272,311,4,4,5
2400000000,147,154,3,2,0
4800000000,325,226,4,4,3
6500000000,250,180,8,5,2
6500000000,250,181,8,6,1
3195000000,150,135,3,3,1
10000000000,380,230,6,4,0
2200000000,226,95,5,3,2
29000000000,1000,670,5,5,5
2700000000,72,72,4,4,0
3000000000,100,139,3,2,1
7500000000,180,200,5,4,1
5000000000,250,217,3,3,1
3250000000,300,153,8,7,2
3300000000,200,130,9,3,1
4500000000,200,180,4,3,1
2800000000,150,102,3,3,1
4500000000,250,96,5,4,2
2700000000,100,130,5,2,2
9500000000,250,189,4,3,2
5500000000,147,107,6,4,1
23000000000,750,610,8,6,6
1500000000,120,90,3,2,1
7000000000,500,428,8,6,4
3500000000,210,170,5,3,2
30000000000,800,498,5,5,9
1980000000,164,72,4,2,2
6500000000,250,125,3,3,3
3500000000,178,150,3,2,2
1800000000,105,90,3,2,1
13000000000,350,248,4,4,1
3100000000,225,156,4,3,2
4750000000,180,137,4,4,2
2599000000,160,90,4,2,1
6250000000,200,320,4,3,2
3000000000,150,135,3,1,1
6550000000,350,270,5,4,2
5000000000,320,150,7,6,1
16000000000,525,330,4,4,3
7100000256,200,265,6,3,3
2300000000,144,135,4,2,2
7500000000,500,428,6,4,4
5500000000,410,205,4,4,2
15000000000,237,387,5,4,2
3500000000,140,90,3,3,2
5900000000,140,107,3,3,3
3000000000,62,90,5,3,0
30000000000,500,703,8,4,8
2900000000,120,137,5,2,1
6000000000,350,220,5,5,2
5500000000,147,107,6,4,2
3700000000,350,180,4,3,1
6250000000,150,150,3,3,2
3700000000,150,139,5,3,1
7300000000,300,325,5,4,6
6950000000,150,190,4,4,2
3400000000,190,110,5,6,2
3300000000,120,90,3,3,2
42000000000,600,624,3,3,2
2700000000,170,88,5,4,0
6700000000,390,130,4,5,2
12000000000,400,312,4,4,2
2350000000,130,130,4,3,1
3400000000,100,139,6,4,2
3000000000,200,150,5,4,2
5000000000,328,150,7,6,2
4000000000,250,154,6,3,2
2300000000,107,54,3,2,1
4500000000,230,180,4,4,1
4400000000,200,195,7,2,2
4500000000,150,179,3,2,1
2800000000,100,130,3,2,2
3800000000,178,239,4,3,4
15000000000,450,475,5,5,5
3500000000,135,101,4,2,2
2900000000,100,139,3,2,2
10000000000,600,400,4,3,0
4340000000,100,124,3,2,2
25000000000,353,535,10,10,6
2900000000,150,60,4,4,1
3200000000,150,92,4,4,2
6500000000,272,311,5,5,0
3500000000,210,172,5,2,2
25000000000,550,485,4,4,3
7500000000,250,315,3,3,2
2950000000,135,133,4,3,1
5500000000,225,326,7,2,0
9000000000,350,305,5,5,3
2500000000,120,135,4,2,1
3100000000,172,90,4,3,2
3500000000,200,231,4,3,2
12000000000,480,312,4,2,1
7000000000,330,187,7,4,2
6500000000,148,150,4,3,3
4500000000,200,148,4,3,1
7000000000,180,253,3,2,2
2300000000,140,77,4,3,1
8750000000,250,200,5,4,2
3800000000,250,186,4,3,0
13000000000,600,208,4,5,4
1800000000,90,84,3,2,0
13500000000,350,278,6,4,0
7100000000,280,241,5,4,3
8500000000,200,385,5,5,0
3000000000,139,150,3,3,1
3600000000,150,135,5,3,3
22000000000,700,619,5,4,10
750000000,100,78,3,1,0
22000000000,350,448,6,7,4
8500000000,245,240,3,5,2
25000000000,550,485,5,5,2
1600000000,150,90,3,2,1
5500000000,424,311,5,4,4
8000000000,260,306,5,4,2
12500000000,480,312,4,2,1
7500000000,350,220,4,5,1
3000000000,300,110,4,3,1
15000000000,300,260,4,3,4
3900000000,220,135,4,4,1
6000000000,210,203,5,3,1
